Group,Kingdom,Phylum,Class,Order,Family,Genus,IUCNName,NCBIName,Status,CRITERIA,YEAR_PUB,Realm,IUCN_THREATS_CATEG,IUCN_N_THREATS,BODY_SIZE,OFFSPRING_SIZE,FECUNDITY,GENERATION_LENGTH,DIET_BREADTH,TROPHIC_LEVEL,DISPERSAL_ABILITY,MICROHABITAT,HABITAT_BREADTH,ALTITUDE_MIN,ALTITUDE_MAX,HFP2009,dHFP,GEOGRAPHICAL_RANGE_SIZE,HUMAN_FOOTPRINT,HABITAT_CONVERSION,Latitud,Longitud,Indice_de_pobreza,Contaminacion_aire,Altitud,Uso_del_suelo
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,SUIDAE,Phacochoerus,Phacochoerus africanus,Phacochoerus africanus,LC,,2016.0,Afrotropic,1;2;5;7;8;11,7.0,91249.995,660.0,3.0,20.9,3.0,2.0,12.689,2.0,8.0,0,3500.0,7.08446373115296,0.746000450940133,,6.19553995132446,75.0576013388667,0.9762700785464951,-42.07151165551983,26.225382022021055,73.77722758705985,2616,Desierto
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,NESOMYIDAE,Petromyscus,Petromyscus barbouri,Petromyscus barbouri,LC,,2016.0,Afrotropic,,,20.405,2.1,2.51,4.106944445,3.0,2.0,0.125,2.0,2.0,100,700.0,6.44610341205817,0.018578028840521,47765.1,5.93266582489014,74.7809832668964,4.30378732744839,-42.26038539008116,43.65405161073324,111.42902472773991,1596,Bosque
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Chaerephon,Chaerephon aloysiisabaudiae,Chaerephon aloysiisabaudiae,LC,,2017.0,Afrotropic,5,1.0,19.54,4.065,1.0,5.0,1.0,3.0,,5.0,4.0,0,,5.0687683719777,0.651186292599542,2574212.1,4.25040340423584,51.8684555878808,2.055267521432878,-61.953894768362005,28.20046209619612,61.53094906285696,1023,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BOVIDAE,Madoqua,Madoqua saltiana,Madoqua saltiana,LC,,2016.0,Afrotropic,5,1.0,3337.235,681.395,1.0,14.0,1.0,1.0,2.057,2.0,2.0,0,2000.0,5.94813653760944,0.812192223618319,,5.2513542175293,74.1901170012871,0.8976636599379368,-49.00307590574218,46.613946302942225,153.39510367328955,2619,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,GALAGIDAE,Galago,Galago gallarum,Galago gallarum,LC,,2019.0,Afrotropic,2,1.0,192.2,12.2,1.5,18.83333,2.0,2.0,0.428,4.0,2.0,150,1200.0,7.66525076871279,2.06467885484829,,7.08434391021729,85.9950081303656,-1.5269040132219054,-39.93692550141747,24.966368383887662,193.05592729446252,13,Urbano
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,Hipposideros lamottei,Hipposideros lamottei,CR,B1 B2,2008.0,Afrotropic,3;5,3.0,24.9,7.872380952,1.03,12.14285714,1.0,3.0,,5.0,5.0,500,1400.0,8.83248355423195,-0.783660309326246,,8.09113454818726,100.0,2.917882261333123,-39.198433415555414,39.978797560821704,169.28792183362805,1441,Bosque
Mammals,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEMURIDAE,Varecia,Varecia rubra,Varecia rubra,CR,A4,2014.0,Afrotropic,2;5;11,4.0,3670.0,89.595,2.2,36.18333,2.0,1.0,2.167,4.0,1.0,0,1200.0,4.72010346416674,0.374899713079033,5844.1,5.0,69.0097016291415,-1.2482557747461502,-59.496129266055945,22.526337941395475,108.46796341806781,1658,Agrícola
Mammals,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEPILEMURIDAE,Lepilemur,Lepilemur mittermeieri,Lepilemur mittermeieri,CR,B1 B2,2014.0,Afrotropic,2;3;5,3.0,730.0,32.085,1.0,12.0,1.0,1.0,0.952,4.0,1.0,,,5.16530785803501,1.39388305827696,1179.1,4.31008815765381,56.8661971830986,7.835460015641594,-40.31072595441085,49.216799719216084,137.64372440082417,2714,Bosque
Mammals,ANIMALIA,CHORDATA,MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Carpitalpa,Carpitalpa arendsi,Carpitalpa arendsi,VU,B1 B2,2015.0,Afrotropic,1;2;5;7,7.0,52.34,6.415,,1.757407407,1.0,3.0,1.532,2.0,9.0,850,2000.0,8.74656986716704,-0.824928961315349,15515.1,7.98971891403198,98.9829207445788,9.273255210020587,-41.884774643652015,41.019000339216284,95.63010137703037,2125,Urbano
Mammals,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,VIVERRIDAE,Genetta,Genetta johnstoni,Genetta johnstoni,NT,,2016.0,Afrotropic,2;3;5,4.0,2225.0,73.0625,2.0325,17.49621212,3.0,3.0,9.618,4.0,3.0,,,6.77241689771494,0.0614285651881489,,6.10920929908752,89.0737215679948,-2.3311696234844455,-68.6322081470145,45.254472182152554,131.15683993324475,3578,Urbano
Mammals,ANIMALIA,CHORDATA,MAMMALIA,SCANDENTIA,TUPAIIDAE,Tupaia,Tupaia tana,Tupaia tana,LC,,2016.0,IndoMalay,2;5,2.0,197.8,11.73666667,2.185,14.0,2.0,2.0,0.435,2.0,3.0,0,1500.0,7.67183183899946,2.07205661668498,2820577.1,6.30600261688232,65.3566993267238,5.834500761653292,-36.03245391450852,37.00008018089103,95.10903586769604,2647,Desierto
Mammals,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Apomys,Apomys zambalensis,Apomys zambalensis,LC,,2017.0,IndoMalay,,,89.5,5.242297297,2.0,,2.0,2.0,,2.0,3.0,860,1800.0,12.6333754106921,2.04058019982093,4217.1,13.3404054641724,100.0,0.5778983950580887,-55.14053384188151,34.304040917865805,160.7487135197915,2261,Desierto
